time,x_rms,x_freq_0,x_mag_0,x_freq_1,x_mag_1,x_freq_2,x_mag_2,y_rms,y_freq_0,y_mag_0,y_freq_1,y_mag_1,y_freq_2,y_mag_2,z_rms,z_freq_0,z_mag_0,z_freq_1,z_mag_1,z_freq_2,z_mag_2 
180199,199.9926,0.7812,1994.5126,1.5625,1793.2686,6.2500,760.3928,410.9634,0.7812,4605.0562,1.5625,4424.6562,2.3438,844.2651,1570.3431,0.7812,21969.5547,1.5625,8547.0332,2.3438,4502.9795
181475,265.1378,0.7812,3536.2856,1.5625,1143.1298,5.4688,1113.2795,494.4615,1.5625,5345.3403,0.7812,4619.6567,3.1250,2258.4263,1807.8357,0.7812,27883.4297,1.5625,5491.7139,2.3438,3067.0308
182752,226.2210,0.7812,2629.8950,1.5625,1516.5270,2.3438,1042.9642,443.9688,0.7812,4691.6753,1.5625,4365.9902,3.1250,2064.4468,1710.9226,0.7812,25953.1445,2.3438,6040.7432,1.5625,4359.0132
184025,274.9270,0.7812,2520.7605,1.5625,1636.7778,4.6875,1330.1304,516.8695,0.7812,5745.4028,1.5625,3897.1206,2.3438,2900.4258,1748.9456,0.7812,27075.0098,1.5625,3342.9590,4.6875,3071.3506
185252,318.3444,0.7812,4452.1851,3.9062,1198.3137,1.5625,1145.0212,549.4980,0.7812,7101.4121,1.5625,3753.0979,2.3438,2675.6069,1784.8187,0.7812,28175.3574,1.5625,3077.0032,2.3438,2259.3914
186527,279.7671,0.7812,3586.1704,3.9062,1490.3110,3.1250,983.1732,574.2507,0.7812,6613.8608,1.5625,5056.5405,2.3438,3259.6414,1677.7911,0.7812,25720.4062,1.5625,5006.0078,2.3438,3495.9756
187803,287.3761,0.7812,3502.1873,1.5625,1492.8724,3.1250,1280.2134,491.2133,0.7812,6372.8809,1.5625,3367.7878,2.3438,1993.4994,1563.5515,0.7812,24287.6016,1.5625,5144.5630,2.3438,2386.6484
189078,255.9420,0.7812,2709.3325,3.1250,1474.0547,2.3438,1311.0773,605.4699,0.7812,6976.4097,1.5625,5534.3823,2.3438,3333.0815,1642.3676,0.7812,25379.8770,1.5625,6130.1865,2.3438,1635.9742
190354,178.6029,0.7812,749.9677,1.5625,745.1997,7.0312,692.5387,131.7568,0.7812,718.9241,1.5625,513.9196,2.3438,410.0829,596.3445,0.7812,4892.7549,1.5625,3397.1597,2.3438,1715.3469
191630,12.7564,0.7812,60.3139,8.5938,53.1769,22.6562,52.5125,9.4092,0.7812,40.1678,1.5625,33.6815,4.6875,23.7464,12.0518,196.8750,35.5817,115.6250,34.8146,156.2500,30.7534
192856,10.0516,8.5938,48.3671,21.8750,47.3866,17.9688,37.5510,8.8124,65.6250,24.4284,168.7500,23.5501,9.3750,21.7287,12.6757,146.0938,36.9499,21.8750,36.1373,15.6250,35.0684
194131,11.4453,21.0938,55.6927,17.9688,55.2734,11.7188,39.5832,8.5203,107.8125,25.5063,63.2812,25.2959,153.9062,24.3168,11.3585,123.4375,36.7764,122.6562,31.6148,138.2812,30.3252
195407,7.0119,14.8438,39.3432,12.5000,28.9068,10.1562,24.6007,7.8586,138.2812,30.9853,123.4375,26.8429,6.2500,22.5788,10.9479,146.0938,48.5381,123.4375,40.5803,122.6562,38.6808
196683,10.7012,24.2188,57.7866,15.6250,52.6372,7.0312,34.0761,9.9114,53.9062,32.9546,57.0312,27.0572,7.0312,26.2947,11.4533,138.2812,36.7158,110.9375,31.9456,100.0000,29.5467
197958,7.6274,0.7812,42.5545,9.3750,30.5050,16.4062,30.4060,7.8456,143.7500,26.3356,10.9375,25.7579,162.5000,21.6745,11.5888,139.0625,37.1599,161.7188,37.0033,136.7188,30.6744
199232,108.2942,1.5625,837.4843,0.7812,835.0461,2.3438,786.0819,100.2080,1.5625,714.2193,0.7812,689.2657,2.3438,680.3633,607.1595,0.7812,5357.5063,1.5625,4896.4395,2.3438,4173.1533
